"","Gene.name.d","Entrez.gene.id.e","Chromosome.f","Start.f","End.f","Cytoband.f"
"7613","LY6G5B",58496,"6",31638727,31640227,"6p21.3"
"7614","LY6G5C",80741,"6",31644460,31648150,"6p21.33"
"7615","ABHD16A",7920,"6",31654725,31671137,"6p21.3"
"7616","LY6G6E",79136,"6",31679752,31681842,"6p21.3"
"7617","LY6G6C",80740,"6",31686424,31689511,"6p21.33"
"7618","DDAH2",23564,"6",31694813,31698042,"6p21.3"
"7619","CLIC1",1192,"6",31698357,31705095,"6p21.3"
"7620","MSH5",4439,"6",31707724,31730455,"6p21.3"
"7621","MSH5-SAPCD1",100532732,"6",31707724,31732624,"6p"
"7622","SAPCD1",401251,"6",31730772,31732624,"6p21.33"
"7623","SAPCD1-AS1",104413891,"6",31731912,31733365,"6p21.33"
"7624","VWA7",80737,"6",31733370,31745108,"6p21.33"
"7625","VARS",7407,"6",31745296,31763712,"6p21.3"
"7626","LSM2",57819,"6",31765168,31774761,"6p21.3"
"7627","HSPA1L",3305,"6",31777395,31782835,"6p21.3"
"7628","HSPA1A",3303,"6",31783290,31785719,"6p21.3"
"7629","HSPA1B",3304,"6",31795511,31798031,"6p21.3"
"7630","C6orf48",50854,"6",31802691,31807543,"6p21.3"
"7631","NEU1",4758,"6",31826828,31830709,"6p21.3"
"7632","SLC44A4",80736,"6",31830969,31846823,"6p21.3"
"7633","EHMT2",10919,"6",31847535,31865484,"6p21.31"
"7634","C2",717,"6",31865561,31913451,"6p21.3"
"7635","ZBTB12",221527,"6",31867393,31869769,"6p21.33"
"7636","CFB",629,"6",31913720,31919861,"6p21.3"
"7637","NELFE",7936,"6",31919863,31926864,"6p21.3"
"7638","SKIV2L",6499,"6",31926580,31937532,"6p21"
"7639","DXO",1797,"6",31937587,31940032,"6p21.3"
"7640","STK19",8859,"6",31938951,31949223,"6p21.3"
"7641","C4A",720,"6",31949833,31970457,"6p21.3"
"7642","CYP21A1P",1590,"6",31973412,31976686,"6p21.3"
"7643","TNXA",7146,"6",31976196,31980800,"6p21.3"
"7644","C4B",721,"6",31982571,32003195,"6p21.3"
"7645","CYP21A2",1589,"6",32006092,32009447,"6p21.3"
"7646","TNXB",7148,"6",32008931,32077151,"6p21.3"
"7647","ATF6B",1388,"6",32083044,32096017,"6p21.3"
"7648","FKBPL",63943,"6",32096483,32098067,"6p21.3"
"7649","PRRT1",80863,"6",32116139,32119720,"6p21.32"
"7650","LOC100507547",100507547,"6",32120578,32122142,"-"
"7651","PPT2",9374,"6",32121228,32131458,"6p21.3"
"7652","PPT2-EGFL8",100532746,"6",32121775,32136062,"6p"
"7653","EGFL8",80864,"6",32132381,32136062,"6p21.32"
"7654","AGPAT1",10554,"6",32135982,32145888,"6p21.3"
"7655","RNF5",6048,"6",32146161,32148570,"6p21.3"
"7656","AGER",177,"6",32148744,32152099,"6p21.3"
"7657","PBX2",5089,"6",32152509,32157963,"6p21.3"
"7658","GPSM3",63940,"6",32158542,32163300,"6p21.3"
"7659","NOTCH4",4855,"6",32162619,32191844,"6p21.3"
"7660","C6orf10",10665,"6",32260474,32339689,"6p21.3"
"7661","BTNL2",56244,"6",32361115,32374907,"6p21.3"
"7662","HLA-DRA",3122,"6",32407618,32412826,"6p21.3"
"7663","HLA-DRB5",3127,"6",32485153,32498006,"6p21.3"
"7664","HLA-DRB6",3128,"6",32520489,32527779,"6p21.3"
"7665","HLA-DRB1",3123,"6",32546546,32557613,"6p21.3"
"7666","HLA-DQA1",3117,"6",32605182,32611429,"6p21.3"
"7667","HLA-DQB1",3119,"6",32627240,32634466,"6p21.3"
"7668","HLA-DQA2",3118,"6",32709162,32714664,"6p21.3"
"7669","HLA-DQB2",3120,"6",32723874,32731330,"6p21"
"7670","HLA-DOB",3112,"6",32780539,32784825,"6p21.3"
"7671","TAP2",6891,"6",32789609,32806600,"6p21.3"
"7672","PSMB8",5696,"6",32808493,32812712,"6p21.3"
"7673","PSMB8-AS1",100507463,"6",32811862,32814277,"-"
"7674","TAP1",6890,"6",32812985,32821748,"6p21.3"
"7675","PSMB9",5698,"6",32821937,32827628,"6p21.3"
"7676","LOC100294145",100294145,"6",32861952,32871535,"-"
"7677","HLA-DMB",3109,"6",32902405,32908847,"6p21.3"
"7678","HLA-DMA",3108,"6",32916390,32920899,"6p21.3"
"7679","BRD2",6046,"6",32936436,32949282,"6p21.3"
"7680","HLA-DOA",3111,"6",32971959,32977389,"6p21.3"
"7681","HLA-DPA1",3113,"6",33032345,33048555,"6p21.3"
"7682","HLA-DPB1",3115,"6",33043702,33057473,"6p21.3"
"7683","HLA-DPB2",3116,"6",33080292,33096890,"6p21.3"
"7684","COL11A2",1302,"6",33130468,33160245,"6p21.3"
"7685","RXRB",6257,"6",33161361,33168630,"6p21.3"
"7686","SLC39A7",7922,"6",33168602,33172214,"6p21.3"
"7687","HSD17B8",7923,"6",33172413,33174608,"6p21.3"
"7688","RING1",6015,"6",33176285,33180499,"6p21.3"
"7689","HCG25",414765,"6",33217312,33222667,"6p21"
"7690","VPS52",6293,"6",33218048,33239742,"6p21.3"
"7691","RPS18",6222,"6",33239851,33244281,"6p21.3"
"7692","B3GALT4",8705,"6",33244916,33246602,"6p21.3"
"7693","WDR46",9277,"6",33246879,33257304,"6p21.3"
"7694","PFDN6",10471,"6",33257373,33258711,"6p21.3"
"7695","RGL2",5863,"6",33259430,33267165,"6p21.3"
"7696","TAPBP",6892,"6",33267471,33282164,"6p21.3"
"7697","ZBTB22",9278,"6",33282181,33285719,"6p21.3"
"7698","DAXX",1616,"6",33286334,33290793,"6p21.3"
"7699","KIFC1",3833,"6",33359312,33377699,"6p21.3"
"7700","PHF1",5252,"6",33378772,33384230,"6p21.3"
"7701","CUTA",51596,"6",33384318,33386065,"6p21.32"
"7702","SYNGAP1",8831,"6",33387846,33421466,"6p21.3"
"7703","ZBTB9",221504,"6",33422355,33425320,"6p21.32"
"7704","BAK1",578,"6",33540322,33548070,"6p21.3"
"7705","GGNBP1",449520,"6",33551475,33556803,"6p21"
"7706","LINC00336",401253,"6",33553882,33561115,"6p21.31"
"7707","ITPR3",3710,"6",33589155,33664348,"6p21"
"7708","UQCC2",84300,"6",33664537,33679528,"6p21.31"
"7709","IP6K3",117283,"6",33689442,33714762,"6p21.31"
"7710","LEMD2",221496,"6",33738989,33756906,"6p21.31"
"7711","MLN",4295,"6",33762448,33771793,"6p21.3"
"7712","LINC01016",100507584,"6",33857287,33864684,"-"
"7713","GRM4",2914,"6",33986419,34123399,"6p21.3"
"7714","HMGA1",3159,"6",34204576,34214008,"6p21"
"7715","C6orf1",221491,"6",34214156,34216885,"6p21.31"
"7716","NUDT3",11165,"6",34254972,34360457,"6p21.2"
"7717","RPS10-NUDT3",100529239,"6",34254972,34393902,"6p21"
"7718","RPS10",6204,"6",34385230,34393902,"6p21.31"
"7719","PACSIN1",29993,"6",34433837,34503000,"6p21.3"
"7720","SPDEF",25803,"6",34505578,34524110,"6p21.3"
"7721","C6orf106",64771,"6",34555056,34664627,"6p21.31"
"7722","SNRPC",6631,"6",34724870,34741634,"6p21.31"
"7723","UHRF1BP1",54887,"6",34759793,34845291,"6p21"
"7724","TAF11",6882,"6",34845554,34855848,"6p21.31"
"7725","ANKS1A",23294,"6",34857037,35059190,"6p21.31"
"7726","TCP11",6954,"6",35085848,35109187,"6p21.31"
"7727","SCUBE3",222663,"6",35181838,35220856,"6p21.3"
"7728","ZNF76",7629,"6",35227490,35263764,"6p21.31"
"7729","DEF6",50619,"6",35265594,35289548,"6p21.33-p21.1"
"7730","PPARD",5467,"6",35310334,35395968,"6p21.2"
"7731","FANCE",2178,"6",35420137,35434881,"6p22-p21"
"7732","RPL10A",4736,"6",35436177,35438558,"6p21.31"
"7733","TEAD3",7005,"6",35441373,35464861,"6p21.2"
"7734","TULP1",7287,"6",35465650,35480679,"6p21.3"
"7735","FKBP5",2289,"6",35541361,35696360,"6p21.31"
"7736","LOC285847",285847,"6",35694538,35704724,"6p21.31"
"7737","ARMC12",221481,"6",35704808,35716690,"6p21.31"
"7738","CLPSL2",389383,"6",35744370,35747329,"6p21.31"
"7739","CLPSL1",340204,"6",35748830,35755841,"6p21.31"
"7740","CLPS",1208,"6",35762758,35765121,"6p21.31"
"7741","LHFPL5",222662,"6",35773070,35791852,"6p21.31"
"7742","SRPK1",6732,"6",35800810,35888957,"6p21.31"
"7743","SLC26A8",116369,"6",35911290,35992413,"6p21"
"7744","MAPK14",1432,"6",35995453,36079013,"6p21.3-p21.2"
"7745","MAPK13",5603,"6",36098260,36112301,"6p21.31"
"7746","BRPF3",27154,"6",36164549,36200567,"6p21"
"7747","PNPLA1",285848,"6",36210944,36276372,"6p21.31"
"7748","C6orf222",389384,"6",36283534,36304662,"6p21.31"
"7749","ETV7",51513,"6",36321997,36355577,"6p21"
"7750","PXT1",222659,"6",36358328,36410666,"6p21.31"
"7751","KCTD20",222658,"6",36410543,36458920,"6p21.31"
"7752","STK38",11329,"6",36461659,36515293,"6p21"
"7753","SRSF3",6428,"6",36562089,36572244,"6p21"
"7754","PANDAR",101154753,"6",36641397,36642903,"6p21.2"
"7755","CDKN1A",1026,"6",36644236,36655116,"6p21.2"
"7756","RAB44",401258,"6",36665627,36700960,"6p21.31-p21.2"
"7757","CPNE5",57699,"6",36708554,36807220,"6p21.1"
"7758","PPIL1",51645,"6",36822605,36842800,"6p21.1"
"7759","C6orf89",221477,"6",36839645,36896740,"6p21.2"
"7760","PI16",221476,"6",36916038,36932613,"6p21.2"
"7761","MTCH1",23787,"6",36935910,36954327,"6p21.2"
"7762","FGD2",221472,"6",36973422,36996845,"6p21.2"
"7763","PIM1",5292,"6",37137921,37143204,"6p21.2"
"7764","TMEM217",221468,"6",37179953,37225931,"6p21.2"
"7765","TBC1D22B",55633,"6",37225479,37300746,"6p21.2"
"7766","RNF8",9025,"6",37321747,37362514,"6p21.3"
"7767","CMTR1",23070,"6",37400906,37449284,"6p21.2"
"7768","CCDC167",154467,"6",37450696,37467700,"6p21.2"
"7769","MDGA1",266727,"6",37600283,37665766,"6p21"
"7770","ZFAND3",60685,"6",37787306,38122399,"6pter-p22.3"
"7771","BTBD9",114781,"6",38136226,38607924,"6p21"
"7772","GLO1",2739,"6",38643701,38670952,"6p21.3-p21.1"
"7773","DNAH8",1769,"6",38683116,38998574,"6p21.2"
"7774","LOC100131047",100131047,"6",38874270,38920883,"6p21.2"
"7775","GLP1R",2740,"6",39016556,39055520,"6p21"
"7776","SAYSD1",55776,"6",39071838,39082962,"6p21.2"
"7777","KCNK5",8645,"6",39156746,39197251,"6p21"
"7778","KCNK17",89822,"6",39266776,39282237,"6p21.1"
"7779","KCNK16",83795,"6",39282473,39290330,"6p21.2-p21.1"
"7780","KIF6",221458,"6",39302875,39693181,"6p21.2"
"7781","DAAM2",23500,"6",39760158,39872653,"6p21.2"
"7782","LOC100505635",100505635,"6",39856565,39865156,"-"
"7783","MOCS1",4337,"6",39872033,39902290,"6p21.3"
"7784","LINC00951",401260,"6",40312083,40323745,"6p21.2"
"7785","TDRG1",732253,"6",40346162,40347631,"6p21.2"
"7786","LRFN2",57497,"6",40359372,40555203,"6p21.2-p21.1"
"7787","LOC101929555",101929555,"6",40846624,40991019,"-"
"7788","UNC5CL",222643,"6",40994639,41006938,"6p21.1"
"7789","TSPO2",222642,"6",41010236,41012076,"6p21.1"
"7790","APOBEC2",10930,"6",41020939,41032630,"6p21"
"7791","OARD1",221443,"6",41034530,41040188,"6p21.1"
"7792","NFYA",4800,"6",41040706,41070146,"6p21.3"
"7793","ADCY10P1",221442,"6",41068772,41108573,"6p21.1"
"7794","TREML1",340205,"6",41116998,41122087,"6p21.1"
"7795","TREM2",54209,"6",41126243,41130924,"6p21.1"
"7796","TREML2",79865,"6",41157486,41168925,"6p21.1"
"7797","TREML3P",340206,"6",41176291,41185685,"6p21.1"
"7798","TREML4",285852,"6",41196061,41206120,"6p21.1"
"7799","TREM1",54210,"6",41242998,41254457,"6p21.1"
"7800","NCR2",9436,"6",41303527,41318625,"6p21.1"
"7801","LINC01276",103106903,"6",41470181,41487590,"6p21.1"
"7802","LOC101060264",101060264,"6",41491632,41516359,"-"
"7803","FOXP4",116113,"6",41514163,41570122,"6p21.1"
"7804","MDFI",4188,"6",41604914,41621982,"6p21"
"7805","TFEB",7942,"6",41651715,41703997,"6p21"
"7806","PGC",5225,"6",41704448,41715139,"6p21.1"
"7807","FRS3",10817,"6",41737913,41747643,"6p21.1"
"7808","PRICKLE4",29964,"6",41748499,41755110,"6p21.31"
"7809","TOMM6",100188893,"6",41755180,41757634,"6p21.1"
"7810","USP49",25862,"6",41757633,41863099,"6p21"
"7811","MED20",9477,"6",41873090,41888885,"6p21.1"
"7812","BYSL",705,"6",41888964,41900784,"6p21.1"
"7813","CCND3",896,"6",41902670,42016632,"6p21"
"7814","TAF8",129685,"6",42018250,42048644,"6p21.1"
"7815","C6orf132",647024,"6",42068856,42110715,"6p21.1"
"7816","GUCA1A",2978,"6",42123143,42147794,"6p21.1"
"7817","GUCA1B",2979,"6",42151021,42162694,"6p21.1"
"7818","MRPS10",55173,"6",42174538,42185633,"6p21.1"
"7819","TRERF1",55809,"6",42192670,42419789,"6p21.1-p12.1"
"7820","UBR2",23304,"6",42531759,42661243,"6p21.1"
"7821","PRPH2",5961,"6",42664332,42690358,"6p21.2-p12.3"
"7822","ATP6V0CP3",442211,"6",42695313,42695932,"6p21.1"
"7823","TBCC",6903,"6",42712233,42713884,"6p21.1"
"7824","GLTSCR1L",23506,"6",42788793,42836296,"6p21.1"
"7825","RPL7L1",285855,"6",42847670,42854731,"6p21.1"
"7826","C6orf226",441150,"6",42858002,42858554,"6p21.1"
"7827","PTCRA",171558,"6",42883726,42893575,"6p21.3"
"7828","CNPY3",10695,"6",42896859,42907008,"6pter-p12.1"
"7829","GNMT",27232,"6",42928499,42931618,"6p12"
"7830","PEX6",5190,"6",42931610,42946981,"6p21.1"
"7831","PPP2R5D",5528,"6",42952236,42980083,"6p21.1"
"7832","MEA1",4201,"6",42979966,42981618,"6p21.3-p21.1"
"7833","KLHDC3",116138,"6",42981840,42989036,"6p21.1"
"7834","RRP36",88745,"6",42989384,42997337,"6p21.1"
"7835","CUL7",9820,"6",43005354,43021683,"6p21.1"
"7836","MRPL2",51069,"6",43021766,43027283,"6p21.3"
"7837","KLC4",89953,"6",43027331,43042837,"6p21.1"
"7838","PTK7",5754,"6",43044005,43129458,"6p21.1-p12.2"
"7839","SRF",6722,"6",43139032,43149244,"6p21.1"
"7840","CUL9",23113,"6",43149921,43192325,"6p21.1"
"7841","DNPH1",10591,"6",43193366,43197211,"6p21.1"
"7842","TTBK1",84630,"6",43211221,43255997,"6p21.1"
"7843","SLC22A7",10864,"6",43265997,43273276,"6p21.1"
"7844","CRIP3",401262,"6",43273210,43276530,"6p21.1"
"7845","ZNF318",24149,"6",43303807,43337181,"6pter-p12.1"
"7846","ABCC10",89845,"6",43395291,43418163,"6p21.1"
"7847","DLK2",65989,"6",43418089,43424370,"6p21.1"
"7848","TJAP1",93643,"6",43445260,43474294,"6p21.1"
"7849","LRRC73",221424,"6",43474702,43478081,"6p21.1"
"7850","YIPF3",25844,"6",43479564,43484728,"6p21.1"
"7851","POLR1C",9533,"6",43484776,43489246,"6p21.1"
"7852","XPO5",57510,"6",43490067,43543812,"6p21.1"
"7853","POLH",5429,"6",43543877,43588260,"6p21.1"
"7854","GTPBP2",54676,"6",43588217,43596983,"6p21"
"7855","MAD2L1BP",9587,"6",43597278,43608688,"6p21.1"
"7856","RSPH9",221421,"6",43612766,43638748,"6p21.1"
"7857","MRPS18A",55168,"6",43638933,43655549,"6p21.3"
"7858","VEGFA",7422,"6",43737945,43754223,"6p12"
"7859","LINC01512",100132354,"6",43858764,43905944,"6p21.1"
"7860","LOC101929705",101929705,"6",43963460,44042389,"6p21.1"
"7861","C6orf223",221416,"6",43968336,43973694,"6p21.1"
"7862","MRPL14",64928,"6",44081372,44095191,"6p21.3"
"7863","TMEM63B",55362,"6",44095375,44123256,"6p21.1"
"7864","CAPN11",11131,"6",44126547,44152139,"6p12"
"7865","SLC29A1",2030,"6",44187241,44201888,"6p21.1"
"7866","HSP90AB1",3326,"6",44213902,44221625,"6p12"
"7867","SLC35B2",347734,"6",44221837,44225627,"6p12.1-p11.2"
"7868","NFKBIE",4794,"6",44225902,44233525,"6p21.1"
"7869","TMEM151B",441151,"6",44238479,44247182,"6p21.1"
"7870","TCTE1",202500,"6",44247896,44265458,"6p21.1"
"7871","AARS2",57505,"6",44266462,44281063,"6p21.1"
"7872","SPATS1",221409,"6",44310396,44344904,"6p21.1"
"7873","CDC5L",988,"6",44355250,44418161,"6p21"
"7874","SUPT3H",8464,"6",44794466,45345788,"6p21.1-p21.3"
"7875","RUNX2",860,"6",45296053,45518819,"6p21"
"7876","CLIC5",53405,"6",45866189,46048085,"6p12.3"
"7877","ENPP4",22875,"6",46097700,46114436,"6p21.1"
"7878","ENPP5",59084,"6",46126918,46138747,"6p21.1-p11.2"
"7879","RCAN2",10231,"6",46188466,46459804,"6p12.3"
"7880","LOC101926915",101926915,"6",46244060,46333242,"6p12.3"
"7881","LOC101926898",101926898,"6",46459788,46501217,"6p12.3"
"7882","CYP39A1",51302,"6",46517316,46620567,"6p21.1-p11.2"
"7883","SLC25A27",9481,"6",46620651,46645927,"6p12.3"
"7884","TDRD6",221400,"6",46655611,46672056,"6p12.3"
"7885","PLA2G7",7941,"6",46672052,46703430,"6p21.2-p12"
"7886","ANKRD66",100287718,"6",46714653,46726954,"6p12.3"
"7887","MEP1A",4224,"6",46761093,46807519,"6p12-p11"
"7888","ADGRF5",221395,"6",46820241,46922675,"6p12.3"
"7889","LOC101926962",101926962,"6",46871207,46877764,"-"
"7890","ADGRF1",266977,"6",46965439,47010099,"6p12.3"
"7891","TNFRSF21",27242,"6",47199262,47277683,"6p21.1"
"7892","CD2AP",23607,"6",47445524,47594996,"6p12"
"7893","ADGRF2",222611,"6",47624325,47665533,"6p12.3"
"7894","ADGRF4",221393,"6",47666288,47689757,"6p12.3"
"7895","OPN5",221391,"6",47749774,47794116,"6p12.3"
"7896","PTCHD4",442213,"6",47845763,48036425,"6p12.3"
"7897","MUT",4594,"6",49398072,49431041,"6p12.3"
"7898","CENPQ",55166,"6",49431095,49460820,"6p12.3"
"7899","GLYATL3",389396,"6",49467670,49495777,"6p12.3"
"7900","C6orf141",135398,"6",49518112,49519808,"6p12.3"
"7901","RHAG",6005,"6",49572889,49604587,"6p12.3"
"7902","CRISP2",7180,"6",49660070,49681303,"6p12.3"
"7903","CRISP3",10321,"6",49695091,49712168,"6p12.3"
"7904","PGK2",5232,"6",49753363,49755053,"6p12.3"
"7905","LOC101927048",101927048,"6",49783205,49792479,"-"
"7906","CRISP1",167,"6",49801978,49844809,"6p21.3"
"7907","DEFB114",245928,"6",49928004,49931818,"6p12.3"
"7908","TFAP2D",83741,"6",50681256,50740746,"6p12.1"
"7909","TFAP2B",7021,"6",50786438,50815326,"6p12"
"7910","PKHD1",5314,"6",51480144,51952423,"6p12.2"
"7911","LOC101927082",101927082,"6",51486667,51487375,"6p12.3"
"7912","IL17A",3605,"6",52051184,52055436,"6p12"
"7913","IL17F",112744,"6",52101483,52109298,"6p12"
"7914","MCM3",4172,"6",52128811,52149679,"6p12"
"7915","PAQR8",85315,"6",52226925,52272575,"6p12.1"
"7916","EFHC1",114327,"6",52284993,52360583,"6p12.3"
"7917","TRAM2",9697,"6",52362199,52441862,"6p21.1-p12"
"7918","TRAM2-AS1",401264,"6",52441999,52448791,"6p12.3"
"7919","LOC730101",730101,"6",52529198,52533951,"6p12.2"
"7920","TMEM14A",28978,"6",52535883,52551385,"6p12.2"
"7921","GSTA7P",730152,"6",52604260,52609957,"6p12.2"
"7922","GSTA2",2939,"6",52614884,52628361,"6p12.1"
"7923","GSTA1",2938,"6",52656177,52668664,"6p12.1"
"7924","GSTA5",221357,"6",52696540,52710893,"6p12.2"
"7925","GSTA3",2940,"6",52761438,52774496,"6p12.1"
"7926","GSTA4",2941,"6",52842745,52860178,"6p12.1"
"7927","ICK",22858,"6",52866097,52926600,"6p12.1"
"7928","FBXO9",26268,"6",52929795,52965670,"6p12.3-p11.2"
"7929","GCM1",8521,"6",52991759,53013624,"6p12.1"
"7930","ELOVL5",60481,"6",53132195,53213977,"6p21.1-p12.1"
"7931","RPS16P5",647190,"6",53199257,53202415,"6p12.1"
"7932","GCLC",2729,"6",53362139,53409927,"6p12"
"7933","LOC101927136",101927136,"6",53426086,53438073,"-"
"7934","LINC01564",101927171,"6",53493177,53496192,"6p12.1"
"7935","KLHL31",401265,"6",53512698,53530506,"6p12.1"
"7936","LRRC1",55227,"6",53659777,53788919,"6p12.1"
"7937","LOC101927189",101927189,"6",53794779,53862465,"6p12.1"
"7938","MLIP",90523,"6",53883713,54131078,"6p12.1"
"7939","TINAG",27283,"6",54173202,54254950,"6p12.1"
"7940","FAM83B",222584,"6",54711568,54809897,"6p12.1"
"7941","HCRTR2",3062,"6",55039070,55147418,"6p12"
"7942","GFRAL",389400,"6",55192266,55267291,"6p12.1"
"7943","HMGCLL1",54511,"6",55299170,55444012,"6p12.1"
"7944","BMP5",653,"6",55620237,55740375,"6p12.1"
"7945","COL21A1",81578,"6",55921387,56112378,"6p12.3-p11.2|6p12.3-p11.2"
"7946","DST",667,"6",56322784,56819426,"6p12.1"
"7947","LOC101930010",101930010,"6",56708783,56729136,"6p12.1"
"7948","BEND6",221336,"6",56819772,56892142,"6p12.1"
"7949","KIAA1586",57691,"6",56911329,56920037,"6p12.1"
"7950","ZNF451",26036,"6",56954807,57035098,"6p12.1"
"7951","LOC101927211",101927211,"6",56979708,57037011,"-"
"7952","BAG2",9532,"6",57037103,57050012,"6p12.1-p11.2"
"7953","RAB23",51715,"6",57051790,57087112,"6p11"
"7954","LOC100506188",100506188,"6",57125321,57128144,"-"
"7955","PRIM2",5558,"6",57179602,57513376,"6p12-p11.1"
"7956","GUSBP4",375513,"6",58246158,58287724,"6p11.2"
"7957","MTRNR2L9",100463487,"6",62284007,62284534,"6q11.1"
"7958","KHDRBS2",202559,"6",62389864,62996100,"6q11.1"
"7959","LGSN",51557,"6",63985855,64029882,"6pter-q22.33"
"7960","PTP4A1",7803,"6",64281916,64293493,"6q12"
"7961","PHF3",23469,"6",64345706,64425418,"6q12"
"7962","EYS",346007,"6",64429875,66417118,"6q12"
"7963","LOC441155",441155,"6",66011310,66015504,"6q12"
"7964","SLC25A51P1",442229,"6",66497771,66499376,"6q12"
"7965","LOC102723883",102723883,"6",68765242,68770394,"6q12"
"7966","LOC101928280",101928280,"6",68936861,69039791,"6q12"
"7967","LOC101928307",101928307,"6",69342554,69344216,"6q12"
"7968","ADGRB3",577,"6",69345631,70099403,"6q12"
"7969","LMBRD1",55788,"6",70385640,70507049,"6q13"
"7970","COL19A1",1310,"6",70576447,70922157,"6q12-q13"
"7971","COL9A1",1297,"6",70925742,71012786,"6q13"
"7972","EVADR",101928353,"6",71103904,71109120,"6q13"
"7973","FAM135A",57579,"6",71123106,71270877,"6q13"
"7974","SDHAF4",135154,"6",71276624,71298606,"6q13"
"7975","SMAP1",60682,"6",71377473,71571716,"6q13"
"7976","B3GAT2",135152,"6",71571068,71666788,"6q13"
"7977","OGFRL1",79627,"6",71998476,72011973,"6q13"
"7978","LINC00472",79940,"6",72117566,72130448,"6q13"
"7979","LOC102724000",102724000,"6",72130729,72168575,"6q13"
"7980","RIMS1",22999,"6",72596405,73112845,"6q12-q13"
"7981","KCNQ5",56479,"6",73331570,73908573,"6q14"
"7982","KCNQ5-IT1",100507381,"6",73340222,73388282,"-"
"7983","KCNQ5-AS1",100873997,"6",73844525,73853237,"-"
"7984","KHDC1L",100129128,"6",73933267,73935175,"6q13"
"7985","KHDC1",80759,"6",73951036,74020088,"6q13"
"7986","DPPA5",340168,"6",74062784,74063999,"6q13"
"7987","KHDC3L",154288,"6",74072399,74073898,"6q13"
"7988","OOEP",441161,"6",74078279,74079515,"6q13"
"7989","DDX43",55510,"6",74104284,74127289,"6q12-q13"
"7990","MB21D1",115004,"6",74134855,74162043,"6q13"
"7991","MTO1",25821,"6",74171453,74211179,"6q13"
"7992","EEF1A1",1915,"6",74225472,74230755,"6q14.1"
"7993","SLC17A5",26503,"6",74303101,74363737,"6q13"
"7994","LOC101928489",101928489,"6",74403625,74405854,"-"
"7995","CD109",135228,"6",74405807,74538041,"6q13"
"7996","LOC101928516",101928516,"6",74779166,75400443,"-"
"7997","COL12A1",1303,"6",75794041,75915623,"6q12-q13"
"7998","COX7A2",1347,"6",75947390,75953644,"6q12"
"7999","TMEM30A",55754,"6",75962637,75994632,"6q14.1"
"8000","LOC100506804",100506804,"6",75994729,76001580,"6q14.1"
"8001","FILIP1",27145,"6",76005582,76203545,"6q14.1"
"8002","LOC101928540",101928540,"6",76092901,76168615,"6q14.1"
"8003","SENP6",26054,"6",76311224,76428001,"6q13-q14.3"
"8004","MYO6",4646,"6",76458892,76629254,"6q13"
"8005","IMPG1",3617,"6",76630830,76782395,"6q14.2-q15"
"8006","HTR1B",3351,"6",78171947,78173120,"6q13"
"8007","MEI4",101928601,"6",78400372,78634476,"-"
"8008","IRAK1BP1",134728,"6",79577260,79610683,"6q14-q15"
"8009","PHIP",55023,"6",79644135,79788011,"6q14"
"8010","HMGN3",9324,"6",79910961,79944455,"6q14.1"
"8011","HMGN3-AS1",100288198,"6",79943390,79946517,"6q14.1"
"8012","FLJ13744",80078,"6",80017385,80023101,"6q14"
"8013","LCA5",167691,"6",80194707,80247147,"6q14.1"
"8014","SH3BGRL2",83699,"6",80340999,80413369,"6q14.1"
"8015","LINC01621",89758,"6",80513299,80521963,"6q14"
"8016","ELOVL4",6785,"6",80624528,80657315,"6q14"
"8017","TTK",7272,"6",80714321,80752244,"6q13-q21"
"8018","BCKDHB",594,"6",80816343,81055987,"6q14.1"
"8019","FAM46A",55603,"6",82455446,82462428,"6q14"
"8020","IBTK",25998,"6",82879703,82957471,"6q14.1"
"8021","TPBG",7162,"6",83072922,83077133,"6q14-q15"
"8022","UBE3D",90025,"6",83602116,83775560,"6q14.1"
"8023","DOPEY1",23033,"6",83777384,83878190,"6q15"
"8024","PGM3",5238,"6",83874592,83903655,"6q14.1-q15"
"8025","RWDD2A",112611,"6",83903031,83906256,"6q14.2"
"8026","ME1",4199,"6",83920109,84140938,"6q12"
"8027","PRSS35",167681,"6",84222193,84235421,"6q14.2"
"8028","SNAP91",9892,"6",84262604,84419127,"6q14.2"
"8029","RIPPLY2",134701,"6",84562984,84567234,"6q14.2"
"8030","CYB5R4",51167,"6",84569369,84670146,"6pter-q22.33"
"8031","MRAP2",112609,"6",84743419,84800605,"6q14.2"
"8032","CEP162",22832,"6",84833959,84937353,"6q14.3"
"8033","LINC01611",105377880,"6",85130750,85184647,"6q14.3"
"8034","TBX18",9096,"6",85442215,85473954,"6q14-q15"
"8035","NT5E",4907,"6",86159301,86205509,"6q14-q21"
"8036","SNX14",57231,"6",86215214,86303874,"6q14.3"
"8037","SYNCRIP",10492,"6",86317501,86353043,"6q14-q15"
"8038","SNHG5",387066,"6",86386724,86388451,"6q14.3"
"8039","HTR1E",3354,"6",87647023,87726397,"6q14-q15"
"8040","CGA",1081,"6",87795215,87804865,"6q12-q21"
"8041","ZNF292",23036,"6",87865268,87973406,"6q14.3"
"8042","GJB7",375519,"6",87992696,88038996,"6q15"
"8043","SMIM8",57150,"6",88032305,88052046,"6q15"
"8044","C6orf163",206412,"6",88054570,88075181,"6q15"
"8045","LINC01590",63914,"6",88106841,88109459,"6q15-q16.1"
"8046","CFAP206",154313,"6",88117689,88174191,"6q15"
